parameter file: PCA3_pruned.pca.par
### THE INPUT PARAMETERS
##PARAMETER NAME: VALUE
genotypename: PCA3_pruned.bed
snpname: PCA3_pruned.bim
indivname: PCA3_pruned.fam
evecoutname: PCA3_pruned.pca.evec
evaloutname: PCA3_pruned.eval
altnormstyle: NO
numoutevec: 3
numoutlieriter: 0
numoutlierevec: 2
outliersigmathresh: 6
qtmode: 0
## smartpca version: 13050
norm used

genetic distance set from physical distance
genotype file processed
number of samples used: 976 number of snps used: 9806
Using 8 threads, and partial sum lookup algorithm.
total number of snps killed in pass: 0  used: 9806

## Tracy-Widom statistics: rows: 976  cols: 9806
  #N    eigenvalue  difference    twstat      p-value effect. n
   1      1.766721          NA     2.491   0.00442149  9246.394
   2      1.745349   -0.021372    -1.393     0.539755  9265.862
   3      1.739402   -0.005948    -2.099     0.752949  9283.183
   4      1.734105   -0.005297    -2.677     0.882481  9300.161
   5      1.730054   -0.004051    -3.002     0.930587  9316.866
   6      1.726668   -0.003386    -3.190     0.950942  9333.440
   7      1.720400   -0.006267    -3.989     0.992202  9349.956
   8      1.716614   -0.003787    -4.274     0.996552  9366.075
   9      1.710565   -0.006048    -5.040     0.999763  9382.080
  10      1.705828   -0.004737    -5.538     0.999973  9397.704
  11      1.697682   -0.008146    -6.766            1  9413.094
  12      1.695933   -0.001748    -6.647            1  9427.845
  13      1.693502   -0.002431    -6.673            1  9442.702
  14      1.690448   -0.003054    -6.833            1  9457.586
  15      1.685547   -0.004901    -7.390            1  9472.421
  16      1.679396   -0.006151    -8.220            1  9486.986
  17      1.676390   -0.003006    -8.386            1  9501.127
  18      1.675151   -0.001239    -8.175            1  9515.214
  19      1.669436   -0.005716    -8.925            1  9529.456
  20      1.667429   -0.002007    -8.884            1  9543.316
  21      1.656368   -0.011061   -10.798            1  9557.235
  22      1.654371   -0.001997   -10.772            1  9570.129
  23      1.652180   -0.002191   -10.788            1  9583.068
  24      1.649166   -0.003014   -10.983            1  9596.030
  25      1.646530   -0.002636   -11.099            1  9608.915
  26      1.644186   -0.002344   -11.153            1  9621.768
  27      1.641020   -0.003166   -11.388            1  9634.622
  28      1.636578   -0.004442   -11.903            1  9647.376
  29      1.635113   -0.001465   -11.774            1  9659.874
  30      1.631237   -0.003875   -12.171            1  9672.473
  31      1.629442   -0.001795   -12.117            1  9684.881
  32      1.626313   -0.003129   -12.356            1  9697.348
  33      1.622170   -0.004143   -12.821            1  9709.710
  34      1.621412   -0.000758   -12.545            1  9721.842
  35      1.618469   -0.002943   -12.749            1  9734.156
  36      1.617172   -0.001297   -12.592            1  9746.384
  37      1.612503   -0.004669   -13.180            1  9758.729
  38      1.609108   -0.003395   -13.492            1  9770.770
  39      1.606171   -0.002937   -13.706            1  9782.664
  40      1.605043   -0.001129   -13.520            1  9794.463
  41      1.600840   -0.004203   -14.018            1  9806.394
  42      1.599588   -0.001252   -13.863            1  9818.070
  43      1.596535   -0.003053   -14.109            1  9829.860
  44      1.594165   -0.002370   -14.205            1  9841.536
  45      1.593703   -0.000461   -13.875            1  9853.183
  46      1.590475   -0.003228   -14.164            1  9865.044
  47      1.587748   -0.002727   -14.343            1  9876.767
  48      1.583223   -0.004526   -14.928            1  9888.413
  49      1.580020   -0.003203   -15.222            1  9899.750
  50      1.579232   -0.000788   -14.974            1  9910.943
  51      1.575076   -0.004156   -15.485            1  9922.302
  52      1.573966   -0.001110   -15.313            1  9933.392
  53      1.571318   -0.002647   -15.487            1  9944.604
  54      1.569917   -0.001402   -15.382            1  9955.740
  55      1.565858   -0.004059   -15.879            1  9966.960
  56      1.565243   -0.000615   -15.598            1  9977.916
  57      1.563729   -0.001514   -15.519            1  9989.058
  58      1.560861   -0.002868   -15.750            1 10000.268
  59      1.559962   -0.000899   -15.533            1 10011.369
  60      1.556884   -0.003078   -15.813            1 10022.618
  61      1.556048   -0.000836   -15.583            1 10033.728
  62      1.554389   -0.001660   -15.540            1 10044.996
  63      1.552354   -0.002035   -15.583            1 10056.313
  64      1.550202   -0.002152   -15.654            1 10067.628
  65      1.545263   -0.004939   -16.369            1 10078.925
  66      1.544427   -0.000836   -16.144            1 10089.824
  67      1.540412   -0.004015   -16.652            1 10100.877
  68      1.539291   -0.001121   -16.495            1 10111.654
  69      1.534727   -0.004564   -17.135            1 10122.544
  70      1.532347   -0.002380   -17.275            1 10133.078
  71      1.530277   -0.002070   -17.344            1 10143.549
  72      1.528181   -0.002096   -17.421            1 10154.000
  73      1.526437   -0.001745   -17.416            1 10164.426
  74      1.525635   -0.000802   -17.193            1 10174.875
  75      1.525072   -0.000563   -16.912            1 10185.477
  76      1.521568   -0.003504   -17.317            1 10196.268
  77      1.520851   -0.000717   -17.073            1 10206.838
  78      1.516629   -0.004222   -17.649            1 10217.575
  79      1.513372   -0.003257   -18.005            1 10227.986
  80      1.513201   -0.000172   -17.639            1 10238.203
  81      1.510937   -0.002263   -17.762            1 10248.660
  82      1.509732   -0.001205   -17.637            1 10259.062
  83      1.508496   -0.001236   -17.520            1 10269.560
  84      1.506019   -0.002477   -17.695            1 10280.150
  85      1.503345   -0.002674   -17.918            1 10290.654
  86      1.499971   -0.003374   -18.310            1 10301.041
  87      1.497932   -0.002038   -18.389            1 10311.208
  88      1.495419   -0.002513   -18.582            1 10321.346
  89      1.494804   -0.000615   -18.325            1 10331.384
  90      1.492077   -0.002728   -18.570            1 10341.599
  91      1.489658   -0.002419   -18.744            1 10351.682
  92      1.488054   -0.001604   -18.725            1 10361.676
  93      1.485928   -0.002126   -18.831            1 10371.699
  94      1.484578   -0.001350   -18.753            1 10381.676
  95      1.483253   -0.001325   -18.669            1 10391.718
  96      1.480550   -0.002703   -18.915            1 10401.831
  97      1.478505   -0.002045   -19.006            1 10411.810
  98      1.476251   -0.002254   -19.148            1 10421.749
  99      1.475082   -0.001169   -19.030            1 10431.618
 100      1.472246   -0.002836   -19.314            1 10441.578
 101      1.469188   -0.003058   -19.654            1 10451.377
 102      1.467915   -0.001273   -19.567            1 10460.981
 103      1.465442   -0.002473   -19.769            1 10470.656
 104      1.462355   -0.003087   -20.123            1 10480.220
 105      1.459970   -0.002385   -20.309            1 10489.579
 106      1.459191   -0.000779   -20.107            1 10498.835
 107      1.457359   -0.001831   -20.160            1 10508.234
 108      1.456678   -0.000681   -19.934            1 10517.615
 109      1.455560   -0.001118   -19.813            1 10527.155
 110      1.453231   -0.002329   -19.986            1 10536.787
 111      1.451969   -0.001262   -19.901            1 10546.325
 112      1.449363   -0.002606   -20.145            1 10555.933
 113      1.448331   -0.001032   -20.005            1 10565.402
 114      1.445882   -0.002448   -20.212            1 10574.976
 115      1.444900   -0.000982   -20.061            1 10584.432
 116      1.443889   -0.001011   -19.917            1 10594.001
 117      1.442335   -0.001554   -19.905            1 10603.680
 118      1.440144   -0.002191   -20.051            1 10613.382
 119      1.439659   -0.000485   -19.777            1 10623.006
 120      1.435853   -0.003806   -20.322            1 10632.824
 121      1.435684   -0.000169   -19.972            1 10642.303
 122      1.432606   -0.003078   -20.340            1 10652.026
 123      1.430487   -0.002119   -20.474            1 10661.525
 124      1.429394   -0.001093   -20.355            1 10670.950
 125      1.426642   -0.002752   -20.647            1 10680.469
 126      1.425741   -0.000902   -20.482            1 10689.811
 127      1.424822   -0.000919   -20.321            1 10699.277
 128      1.423407   -0.001415   -20.282            1 10708.865
 129      1.419723   -0.003684   -20.810            1 10718.494
 130      1.417946   -0.001777   -20.866            1 10727.788
 131      1.417181   -0.000765   -20.669            1 10737.059
 132      1.412909   -0.004273   -21.351            1 10746.476
 133      1.411738   -0.001171   -21.260            1 10755.453
 134      1.409238   -0.002499   -21.503            1 10764.504
 135      1.408672   -0.000566   -21.262            1 10773.406
 136      1.407515   -0.001157   -21.168            1 10782.483
 137      1.406905   -0.000610   -20.935            1 10791.636
 138      1.404611   -0.002293   -21.126            1 10800.960
 139      1.402249   -0.002362   -21.337            1 10810.168
 140      1.400771   -0.001479   -21.326            1 10819.249
 141      1.399830   -0.000940   -21.179            1 10828.349
 142      1.396833   -0.002997   -21.553            1 10837.564
 143      1.396460   -0.000374   -21.264            1 10846.537
 144      1.395672   -0.000787   -21.078            1 10855.720
 145      1.393960   -0.001712   -21.127            1 10865.044
 146      1.392550   -0.001409   -21.099            1 10874.349
 147      1.391942   -0.000608   -20.867            1 10883.686
 148      1.389900   -0.002042   -21.000            1 10893.198
 149      1.386729   -0.003171   -21.423            1 10902.633
 150      1.385969   -0.000760   -21.233            1 10911.789
 151      1.384058   -0.001911   -21.336            1 10921.090
 152      1.380933   -0.003125   -21.753            1 10930.333
 153      1.380023   -0.000909   -21.604            1 10939.299
