parameter file: PCA1_pruned.pca.par
### THE INPUT PARAMETERS
##PARAMETER NAME: VALUE
genotypename: PCA1_pruned.bed
snpname: PCA1_pruned.bim
indivname: PCA1_pruned.fam
evecoutname: PCA1_pruned.pca.evec
evaloutname: PCA1_pruned.eval
altnormstyle: NO
numoutevec: 1
numoutlieriter: 0
numoutlierevec: 2
outliersigmathresh: 6
qtmode: 0
## smartpca version: 13050
norm used

genetic distance set from physical distance
genotype file processed
number of samples used: 976 number of snps used: 9804
Using 8 threads, and partial sum lookup algorithm.
total number of snps killed in pass: 0  used: 9804

## Tracy-Widom statistics: rows: 976  cols: 9804
  #N    eigenvalue  difference    twstat      p-value effect. n
   1      1.772526          NA     3.754  0.000372051  9251.974
   2      1.761359   -0.011166     2.010     0.010224  9272.185
   3      1.746171   -0.015188    -0.597     0.301184  9291.454
   4      1.736811   -0.009360    -2.014     0.729475  9309.294
   5      1.731671   -0.005140    -2.561     0.860871  9326.390
   6      1.719002   -0.012669    -4.699     0.999146  9343.228
   7      1.717939   -0.001063    -4.415     0.997781  9358.923
   8      1.713040   -0.004899    -4.939     0.999648  9374.820
   9      1.708794   -0.004246    -5.331      0.99993  9390.471
  10      1.705740   -0.003053    -5.476     0.999963  9405.948
  11      1.699052   -0.006689    -6.394            1  9421.387
  12      1.694709   -0.004342    -6.824            1  9436.359
  13      1.689880   -0.004829    -7.363            1  9451.133
  14      1.689459   -0.000421    -6.967            1  9465.648
  15      1.684624   -0.004835    -7.511            1  9480.423
  16      1.678428   -0.006196    -8.353            1  9494.933
  17      1.674649   -0.003779    -8.687            1  9509.015
  18      1.672193   -0.002456    -8.739            1  9522.948
  19      1.668638   -0.003555    -9.030            1  9536.888
  20      1.665691   -0.002947    -9.193            1  9550.702
  21      1.659876   -0.005815    -9.978            1  9564.462
  22      1.657091   -0.002785   -10.115            1  9577.820
  23      1.651712   -0.005379   -10.817            1  9591.135
  24      1.650983   -0.000729   -10.517            1  9604.093
  25      1.647332   -0.003651   -10.850            1  9617.250
  26      1.643869   -0.003464   -11.146            1  9630.254
  27      1.639801   -0.004068   -11.578            1  9643.124
  28      1.636434   -0.003367   -11.861            1  9655.786
  29      1.635645   -0.000789   -11.583            1  9668.320
  30      1.631713   -0.003932   -11.992            1  9681.039
  31      1.628067   -0.003646   -12.343            1  9693.559
  32      1.625915   -0.002152   -12.369            1  9705.913
  33      1.625307   -0.000608   -12.056            1  9718.281
  34      1.620979   -0.004329   -12.562            1  9730.854
  35      1.617519   -0.003460   -12.880            1  9743.172
  36      1.615569   -0.001950   -12.869            1  9755.339
  37      1.613828   -0.001741   -12.811            1  9767.541
  38      1.606750   -0.007078   -13.938            1  9779.804
  39      1.605457   -0.001292   -13.790            1  9791.459
  40      1.603923   -0.001535   -13.696            1  9803.223
  41      1.602602   -0.001321   -13.553            1  9815.067
  42      1.598748   -0.003854   -13.975            1  9827.019
  43      1.592498   -0.006250   -14.937            1  9838.757
  44      1.591038   -0.001460   -14.836            1  9849.978
  45      1.588899   -0.002139   -14.887            1  9861.279
  46      1.585335   -0.003564   -15.259            1  9872.575
  47      1.584080   -0.001256   -15.116            1  9883.685
  48      1.582837   -0.001243   -14.970            1  9894.899
  49      1.580556   -0.002281   -15.056            1  9906.221
  50      1.578372   -0.002184   -15.122            1  9917.518
  51      1.577401   -0.000971   -14.915            1  9928.801
  52      1.572636   -0.004765   -15.566            1  9940.227
  53      1.570564   -0.002072   -15.612            1  9951.304
  54      1.569174   -0.001389   -15.504            1  9962.377
  55      1.565236   -0.003939   -15.976            1  9973.535
  56      1.564511   -0.000725   -15.720            1  9984.444
  57      1.563260   -0.001250   -15.583            1  9995.524
  58      1.558438   -0.004822   -16.260            1 10006.706
  59      1.556797   -0.001641   -16.217            1 10017.519
  60      1.554152   -0.002646   -16.404            1 10028.379
  61      1.552541   -0.001610   -16.355            1 10039.152
  62      1.550277   -0.002264   -16.457            1 10049.975
  63      1.548733   -0.001545   -16.395            1 10060.761
  64      1.544536   -0.004196   -16.943            1 10071.605
  65      1.541776   -0.002761   -17.166            1 10082.150
  66      1.540483   -0.001293   -17.052            1 10092.586
  67      1.538110   -0.002372   -17.187            1 10103.109
  68      1.535129   -0.002981   -17.465            1 10113.573
  69      1.534061   -0.001068   -17.302            1 10123.893
  70      1.532306   -0.001755   -17.298            1 10134.330
  71      1.528843   -0.003463   -17.691            1 10144.790
  72      1.526754   -0.002089   -17.769            1 10155.037
  73      1.524404   -0.002349   -17.908            1 10165.257
  74      1.521226   -0.003178   -18.242            1 10175.415
  75      1.519257   -0.001969   -18.297            1 10185.394
  76      1.518953   -0.000305   -17.964            1 10195.358
  77      1.517936   -0.001017   -17.796            1 10205.539
  78      1.515713   -0.002223   -17.909            1 10215.840
  79      1.513047   -0.002666   -18.127            1 10226.093
  80      1.512217   -0.000830   -17.917            1 10236.234
  81      1.509929   -0.002288   -18.048            1 10246.521
  82      1.508376   -0.001554   -18.007            1 10256.748
  83      1.506086   -0.002290   -18.141            1 10267.019
  84      1.503450   -0.002636   -18.358            1 10277.228
  85      1.500742   -0.002707   -18.594            1 10287.324
  86      1.498176   -0.002566   -18.799            1 10297.296
  87      1.496669   -0.001507   -18.756            1 10307.161
  88      1.494113   -0.002557   -18.961            1 10317.070
  89      1.493577   -0.000536   -18.689            1 10326.872
  90      1.490766   -0.002811   -18.956            1 10336.858
  91      1.489374   -0.001392   -18.887            1 10346.699
  92      1.485710   -0.003664   -19.361            1 10356.599
  93      1.484409   -0.001301   -19.275            1 10366.225
  94      1.482698   -0.001710   -19.286            1 10375.922
  95      1.479706   -0.002993   -19.605            1 10385.628
  96      1.478398   -0.001308   -19.523            1 10395.155
  97      1.475457   -0.002941   -19.833            1 10404.749
  98      1.475186   -0.000271   -19.504            1 10414.167
  99      1.473636   -0.001550   -19.480            1 10423.805
 100      1.471775   -0.001861   -19.532            1 10433.474
 101      1.471221   -0.000554   -19.269            1 10443.128
 102      1.469329   -0.001892   -19.328            1 10452.963
 103      1.467322   -0.002007   -19.416            1 10462.778
 104      1.463803   -0.003520   -19.871            1 10472.555
 105      1.461739   -0.002064   -19.977            1 10482.062
 106      1.461426   -0.000312   -19.659            1 10491.519
 107      1.457498   -0.003928   -20.219            1 10501.192
 108      1.455193   -0.002305   -20.388            1 10510.527
 109      1.454064   -0.001130   -20.273            1 10519.771
 110      1.450522   -0.003542   -20.746            1 10529.103
 111      1.448618   -0.001904   -20.823            1 10538.150
 112      1.447822   -0.000795   -20.630            1 10547.163
 113      1.446037   -0.001785   -20.678            1 10556.312
 114      1.444714   -0.001323   -20.613            1 10565.446
 115      1.442610   -0.002104   -20.741            1 10574.634
 116      1.441721   -0.000889   -20.571            1 10583.756
 117      1.438772   -0.002949   -20.907            1 10593.001
 118      1.437285   -0.001487   -20.886            1 10602.044
 119      1.436491   -0.000794   -20.694            1 10611.115
 120      1.435949   -0.000542   -20.439            1 10620.324
 121      1.433666   -0.002283   -20.612            1 10629.712
 122      1.432004   -0.001662   -20.634            1 10639.003
 123      1.429501   -0.002503   -20.865            1 10648.294
 124      1.428800   -0.000701   -20.651            1 10657.449
 125      1.426872   -0.001928   -20.740            1 10666.759
 126      1.424840   -0.002032   -20.857            1 10676.024
 127      1.423599   -0.001241   -20.778            1 10685.227
 128      1.422333   -0.001266   -20.705            1 10694.497
 129      1.421164   -0.001170   -20.607            1 10703.829
 130      1.418757   -0.002407   -20.819            1 10713.240
 131      1.417422   -0.001335   -20.764            1 10722.526
 132      1.416257   -0.001166   -20.667            1 10731.863
 133      1.413032   -0.003224   -21.086            1 10741.278
 134      1.411484   -0.001548   -21.088            1 10750.429
 135      1.410556   -0.000928   -20.935            1 10759.592
 136      1.408424   -0.002132   -21.083            1 10768.872
 137      1.407056   -0.001368   -21.041            1 10778.067
 138      1.405885   -0.001171   -20.949            1 10787.303
 139      1.404648   -0.001236   -20.874            1 10796.616
 140      1.402788   -0.001860   -20.956            1 10805.993
 141      1.400907   -0.001882   -21.044            1 10815.330
 142      1.398403   -0.002504   -21.291            1 10824.621
 143      1.396617   -0.001786   -21.359            1 10833.758
 144      1.396004   -0.000613   -21.129            1 10842.862
 145      1.394779   -0.001225   -21.054            1 10852.136
 146      1.393056   -0.001723   -21.105            1 10861.476
 147      1.391148   -0.001908   -21.204            1 10870.795
 148      1.390603   -0.000545   -20.957            1 10880.060
 149      1.388166   -0.002436   -21.191            1 10889.509
 150      1.387008   -0.001158   -21.101            1 10898.810
 151      1.384586   -0.002423   -21.334            1 10908.188
 152      1.381450   -0.003135   -21.753            1 10917.417
 153      1.380789   -0.000661   -21.540            1 10926.369
 154      1.378796   -0.001994   -21.668            1 10935.482
 155      1.376348   -0.002448   -21.914            1 10944.519
 156      1.374710   -0.001638   -21.955            1 10953.396
 157      1.372995   -0.001715   -22.016            1 10962.257
 158      1.371916   -0.001079   -21.913            1 10971.087
 159      1.369729   -0.002187   -22.097            1 10980.001
 160      1.368600   -0.001129   -22.008            1 10988.798
 161      1.367324   -0.001277   -21.958            1 10997.670
 162      1.365224   -0.002099   -22.121            1 11006.588
 163      1.364033   -0.001191   -22.050            1 11015.403
 164      1.363769   -0.000264   -21.738            1 11024.281
 165      1.360785   -0.002984   -22.131            1 11033.393
 166      1.359364   -0.001421   -22.121            1 11042.236
 167      1.358280   -0.001085   -22.023            1 11051.099
 168      1.356747   -0.001533   -22.042            1 11060.043
 169      1.355554   -0.001192   -21.973            1 11068.985
 170      1.354280   -0.001275   -21.924            1 11077.990
 171      1.350652   -0.003627   -22.493            1 11087.041
 172      1.349190   -0.001462   -22.498            1 11095.694
 173      1.347554   -0.001636   -22.550            1 11104.353
 174      1.346717   -0.000837   -22.392            1 11112.986
