parameter file: PCA5_pruned.pca.par
### THE INPUT PARAMETERS
##PARAMETER NAME: VALUE
genotypename: PCA5_pruned.bed
snpname: PCA5_pruned.bim
indivname: PCA5_pruned.fam
evecoutname: PCA5_pruned.pca.evec
evaloutname: PCA5_pruned.eval
altnormstyle: NO
numoutevec: 5
numoutlieriter: 0
numoutlierevec: 2
outliersigmathresh: 6
qtmode: 0
## smartpca version: 13050
norm used

genetic distance set from physical distance
genotype file processed
number of samples used: 976 number of snps used: 9800
Using 8 threads, and partial sum lookup algorithm.
total number of snps killed in pass: 0  used: 9800

## Tracy-Widom statistics: rows: 976  cols: 9800
  #N    eigenvalue  difference    twstat      p-value effect. n
   1      1.810642          NA    11.811   1.3474e-13  9263.389
   2      1.749716   -0.060927    -0.249     0.217585  9288.453
   3      1.737574   -0.012141    -2.243     0.790154  9306.465
   4      1.735498   -0.002076    -2.149     0.766136  9323.408
   5      1.732535   -0.002964    -2.241     0.789702  9340.454
   6      1.727021   -0.005514    -2.873     0.913528  9357.501
   7      1.716748   -0.010272    -4.516       0.9984  9374.242
   8      1.710918   -0.005830    -5.239     0.999895  9390.111
   9      1.710571   -0.000347    -4.809     0.999425  9405.623
  10      1.705347   -0.005223    -5.409      0.99995  9421.419
  11      1.698353   -0.006995    -6.394            1  9436.924
  12      1.693697   -0.004655    -6.891            1  9451.923
  13      1.689954   -0.003744    -7.200            1  9466.686
  14      1.683539   -0.006414    -8.084            1  9481.318
  15      1.679059   -0.004481    -8.563            1  9495.499
  16      1.674712   -0.004346    -9.019            1  9509.452
  17      1.672255   -0.002458    -9.075            1  9523.189
  18      1.670014   -0.002241    -9.085            1  9536.931
  19      1.666535   -0.003479    -9.363            1  9550.702
  20      1.662095   -0.004440    -9.851            1  9564.354
  21      1.659515   -0.002579    -9.943            1  9577.770
  22      1.654377   -0.005139   -10.591            1  9591.168
  23      1.650155   -0.004222   -11.047            1  9604.241
  24      1.648375   -0.001780   -10.977            1  9617.092
  25      1.645783   -0.002592   -11.084            1  9630.014
  26      1.644706   -0.001077   -10.862            1  9642.908
  27      1.640688   -0.004018   -11.281            1  9655.956
  28      1.639006   -0.001682   -11.194            1  9668.802
  29      1.634992   -0.004014   -11.618            1  9681.728
  30      1.634448   -0.000544   -11.285            1  9694.448
  31      1.628756   -0.005691   -12.080            1  9707.386
  32      1.625842   -0.002914   -12.272            1  9719.908
  33      1.621139   -0.004703   -12.861            1  9732.351
  34      1.619694   -0.001445   -12.737            1  9744.493
  35      1.617769   -0.001925   -12.719            1  9756.732
  36      1.614688   -0.003081   -12.957            1  9769.010
  37      1.611723   -0.002965   -13.172            1  9781.182
  38      1.605840   -0.005883   -14.037            1  9793.261
